iter	Passed	Remaining
0	16	162856
1	31	156891
2	46	155472
3	62	157137
4	78	157490
5	94	157442
6	110	157668
7	125	157028
8	141	157573
9	156	156288
10	171	156128
11	187	155728
12	203	156616
13	220	157624
14	238	158535
15	254	159101
16	270	158888
17	285	158429
18	302	158867
19	318	158975
20	334	159037
21	351	159370
22	369	160115
23	385	160373
24	403	161013
25	420	161146
26	435	160851
27	452	161262
28	468	161084
29	484	161051
30	501	161194
31	516	160817
32	531	160625
33	549	160943
34	564	160828
35	580	160718
36	597	160879
37	614	160989
38	631	161179
39	649	161726
40	668	162376
41	685	162439
42	703	162863
43	721	163258
44	740	163736
45	759	164380
46	777	164647
47	794	164744
48	812	164947
49	829	165143
50	847	165253
51	864	165392
52	883	165826
53	901	166078
54	921	166551
55	939	166818
56	957	167083
57	975	167282
58	993	167395
59	1012	167664
60	1032	168256
61	1050	168375
62	1068	168478
63	1087	168807
64	1105	168944
65	1123	169103
66	1144	169631
67	1163	169866
68	1182	170184
69	1202	170615
70	1219	170581
71	1236	170466
72	1252	170286
73	1268	170139
74	1285	170075
75	1301	169997
76	1320	170139
77	1338	170247
78	1355	170217
79	1372	170162
80	1388	170038
81	1405	170032
82	1421	169893
83	1439	169909
84	1455	169786
85	1472	169780
86	1490	169851
87	1508	169879
88	1525	169831
89	1541	169698
90	1558	169675
91	1576	169766
92	1594	169806
93	1611	169829
94	1628	169771
95	1646	169850
96	1663	169847
97	1680	169844
98	1698	169902
99	1715	169873
100	1732	169841
101	1750	169833
102	1766	169742
103	1783	169670
104	1801	169772
105	1817	169672
106	1835	169670
107	1853	169751
108	1871	169790
109	1887	169747
110	1906	169827
111	1922	169752
112	1938	169578
113	1954	169495
114	1972	169513
115	1989	169492
116	2005	169445
117	2022	169374
118	2038	169266
119	2055	169250
120	2071	169146
121	2087	169058
122	2104	169013
123	2120	168884
124	2136	168804
125	2154	168802
126	2170	168771
127	2187	168721
128	2204	168717
129	2221	168670
130	2240	168791
131	2257	168738
132	2274	168735
133	2290	168679
134	2307	168584
135	2324	168626
136	2343	168701
137	2361	168774
138	2380	168878
139	2397	168851
140	2413	168742
141	2431	168779
142	2448	168772
143	2466	168792
144	2482	168735
145	2500	168750
146	2516	168696
147	2534	168691
148	2551	168668
149	2568	168688
150	2585	168659
151	2601	168551
152	2618	168555
153	2635	168474
154	2650	168372
