,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,Training Time (min),lr,max_depth,colsample_bytree,min_child_samples,early stopping (iterations)
1,model_9999,0.9999999948804988,0.0015541587104511518,0.9999991876853093,0.032656076319731865,0.9956021650879567,0.9598704815730602,1.7813385327657063,0.05,3,0.5,20,50.0
2,model_9999,0.9999999846414965,0.0014058992891867398,0.9999992283010437,0.03134440793455303,0.9928958051420839,0.9489665018250324,1.7938673098882039,0.05,3,0.5,30,50
3,model_9999,0.9999999846414965,0.0012060134427779648,0.9999998375370618,0.027257057071444577,0.9952638700947226,0.9532038149063935,1.777203667163849,0.05,3,0.5,40,50
4,model_9999,0.9999999948804988,0.0008145935797961873,0.9999991876853093,0.022764355197450615,0.9956021650879567,0.9407391381137408,0.5651286085446675,0.05,3,0.7,20,50
5,model_9999,0.9999999846414965,0.001105485423571443,0.9999994313797165,0.02946385821733831,0.9962787550744249,0.9557391381137407,0.5259332736333211,0.05,3,0.7,30,50
6,model_9999,0.9999999948804988,9.784061589730283e-05,0.9999998375370618,0.013117796769337813,0.9956021650879567,0.9146633502099769,0.8114413102467855,0.05,3,0.7,40,50
7,model_9999,0.9999999948804988,0.0004600694253712668,0.9999989846066366,0.019830950302585557,0.9952638700947226,0.9257509125161898,0.6634267648061116,0.05,3,0.9,20,50
8,model_9999,0.9999999948804988,0.00058091530522007,0.9999988627594331,0.022617221018634438,0.9962787550744249,0.9490842458495232,0.5931702295939127,0.05,3,0.9,30,50
9,model_9999,0.9999999091249159,0.0015358729467459282,0.9999992283010437,0.0334539105177187,0.9945872801082544,0.9556802661014954,0.49124402602513634,0.05,3,0.9,40,50
10,model_9999,0.9999999948804988,0.00018072967012033075,0.9999991876853093,0.012831909003392459,0.9969553450608931,0.9421633502099769,2.4265143553415935,0.05,5,0.5,20,50
11,model_9999,0.9999999948804988,7.828789332778317e-05,0.9999995938426547,0.012542283569625324,0.996617050067659,0.9310522390988657,2.723829897244771,0.05,5,0.5,30,50
12,model_0,0.9999999809554556,0.0024265792059067885,1.0,0.03879500272265837,0.9901894451962111,0.9463723066054397,1.57384379307429,0.05,5,0.5,40,50
13,model_9999,0.9999999948804988,0.0002580772521134301,0.9999991876853093,0.015939317659127983,0.9959404600811907,0.9241077946544214,0.8436412692070008,0.05,5,0.7,20,50
14,model_9999,0.9999999948804988,0.0014194562626072065,0.9999990252223712,0.02900402357602575,0.9945872801082544,0.959835158365713,0.6973993380864462,0.05,5,0.7,30,50
15,model_0,0.9999999948804988,0.0002770391640516537,1.0,0.014121689888686291,0.9962787550744249,0.9354849091408611,0.809081780910492,0.05,5,0.7,40,50
16,model_9999,0.9999999948804988,0.0004355846252746534,0.9999991876853093,0.019945518929016394,0.9945872801082544,0.9257273637112917,0.8507976333300272,0.05,5,0.9,20,50
17,model_9999,0.9999999873125406,0.0013146225809587777,0.9999990252223712,0.028724223118782248,0.9942489851150202,0.9420691549903842,0.7750860095024109,0.05,5,0.9,30,50
18,model_9999,0.9999999948804988,0.00012064495569343104,0.9999998375370618,0.012579746896313993,0.9956021650879567,0.9174411279877546,0.905243988831838,0.05,5,0.9,40,50
19,model_9999,0.9999999948804988,0.00016154793766157897,0.9999993907639819,0.012315135503605858,0.9956021650879567,0.935461360335963,2.5898107091585794,0.05,7,0.5,20,50
20,model_9999,0.9999999873125406,0.005988999662648305,0.9999987002964947,0.053671111147681104,0.986468200270636,0.9528976804427175,1.7738584955533345,0.05,7,0.5,30,50
21,model_0,0.9999999948804988,0.00014944213427237957,1.0,0.011937952710456879,0.9956021650879567,0.9354613603359628,2.3680445114771524,0.05,7,0.5,40,50
22,model_9999,0.9999999948804988,0.00167632350181035,0.9999991876853093,0.027907433661494483,0.9928958051420839,0.9420220573805879,0.9147592782974243,0.05,7,0.7,20,50
