,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test f1_score,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,patience
0,model_9925,0.9995449539456746,0.051343810328379445,0.9925808553867386,0.06098810880126779,0.9830795262267343,0.9877025936069326,0.9188358060716859,7,0.05,3,0.5,20,50.0
1,model_9949,0.9996860252702086,0.03505435199487269,0.9949601952540986,0.04536372999196569,0.9864636209813875,0.9894781617887509,0.9331336015532012,8,0.05,3,0.5,30,50
2,model_9922,0.9995464809458569,0.04948772439765,0.9922537281010005,0.05952961547201148,0.9810490693739424,0.9866372526978417,0.9106429302725423,6,0.05,3,0.5,40,50
3,model_9945,0.9995954624132429,0.04468420264920463,0.9945078395542891,0.0551117971660785,0.9857868020304569,0.9857034826684108,0.9297902816308612,3,0.05,3,0.7,20,50
4,model_9939,0.9996574821129548,0.03788471920088853,0.9939481452138467,0.0487034522273092,0.9861252115059221,0.989300604970569,0.9316659343783154,3,0.05,3,0.7,30,50
5,model_9925,0.9994572101659684,0.0592525402467134,0.9925936337963377,0.06959611709594214,0.9769881556683587,0.9845065708796599,0.8950542747077355,2,0.05,3,0.7,40,50
6,model_9934,0.9996808569618992,0.03609471498097136,0.9934293417841216,0.0480760161183566,0.9884940778341793,0.9871239372138653,0.9417705643160837,4,0.05,3,0.9,20,50
7,model_9929,0.9994711293599379,0.054107484551966956,0.9929233167639956,0.06480907314069806,0.9800338409475465,0.9861045822432963,0.9066488186868349,3,0.05,3,0.9,30,50
8,model_9926,0.9996649996523138,0.04554346399725892,0.992677971299692,0.055688463460703726,0.9830795262267343,0.9877025936069326,0.9188358060716859,3,0.05,3,0.9,40,50
9,model_9944,0.9998361998650601,0.040946719561162054,0.9944465031882131,0.0505463292466917,0.9854483925549915,0.9889454913342054,0.9287564149503598,4,0.05,5,0.5,20,50
10,model_9948,0.9998260394407702,0.04291113213317128,0.994850300931546,0.053749624782313314,0.9834179357021997,0.984460584941138,0.9197634269292768,3,0.05,5,0.5,30,50
11,model_9956,0.9998460666354689,0.04081188350512194,0.9956732305097308,0.05105424015223652,0.9830795262267343,0.9877025936069326,0.9188358060716859,4,0.05,5,0.5,40,50
12,model_9945,0.9999454978396471,0.026988858308865757,0.9945768429661245,0.038334999800669414,0.990186125211506,0.9914312867887509,0.9498720404790805,4,0.05,5,0.7,20,50
13,model_9952,0.9997728293574947,0.04577972263551621,0.995266877084478,0.05683482090482923,0.9820642978003384,0.9837503576684108,0.9142136926153608,3,0.05,5,0.7,30,50
14,model_9944,0.9999186578749044,0.028228284215367733,0.9944567259158925,0.04067571196872742,0.9908629441624366,0.988366834941138,0.9527426555209977,2,0.05,5,0.7,40,50
15,model_9964,0.9999557169947133,0.021237280523914118,0.9964603805410379,0.031946295736027405,0.9942470389170897,0.9901424031229562,0.9692776533227654,3,0.05,5,0.9,20,50
16,model_9949,0.9999456153011996,0.02399391595629898,0.9949218600253013,0.03640541211791041,0.9915397631133672,0.9887219485775016,0.9559662130466374,3,0.05,5,0.9,30,50
17,model_9953,0.9999205372597442,0.03008416501922059,0.9953307691324738,0.04211758096756355,0.9891708967851099,0.9874790508502289,0.9448573148031518,2,0.05,5,0.9,40,50
18,model_9950,0.9996470867655599,0.08027012182601698,0.9950675338947315,0.09114416173595451,0.9752961082910322,0.976779655820798,0.8876440485956483,2,0.05,7,0.5,20,50
19,model_9954,0.9996452661114964,0.07826705466618594,0.9954099952719885,0.0883304681330188,0.9749576988155668,0.9766020990026161,0.8864136916511182,2,0.05,7,0.5,30,50
20,model_9973,0.999908145065957,0.03959893821981088,0.9973088669384208,0.048782737380407754,0.9851099830795262,0.985348369032047,0.9268834183604611,2,0.05,7,0.5,40,50
21,model_9959,0.9994219717002231,0.0884184174715634,0.9959888572268295,0.10144045969279146,0.9698815566835871,0.9739387467298888,0.8687118389727579,2,0.05,7,0.7,20,50
22,model_9976,0.9999795616898677,0.016465524953154176,0.9976462169518382,0.02656780446811301,0.9939086294416244,0.986545280820798,0.9673640937538348,2,0.05,7,0.7,30,50
23,model_9979,0.9999972983842929,0.008720760037825523,0.997901785143821,0.020278147645426178,0.9962774957698816,0.991207744032047,0.9797239766081871,3,0.05,7,0.7,40,50
24,model_9941,0.9994928597471475,0.07616479468623381,0.9941257651072748,0.09158209014419229,0.9736040609137055,0.9758918717298888,0.8815570400822199,2,0.05,7,0.9,20,50
25,model_9965,0.9999887236909615,0.013132091780218222,0.9965038271336749,0.025111923914649774,0.9942470389170897,0.9901424031229562,0.9692776533227654,3,0.05,7,0.9,30,50
26,model_9963,0.999971633035075,0.024004928923782077,0.996309595307768,0.03570221645137799,0.9918781725888325,0.9888995053956835,0.9575932684994284,2,0.05,7,0.9,40,50
27,model_9943,0.9996358691872976,0.042451231115661,0.9943468315933399,0.05233771640033009,0.9847715736040609,0.9885903776978417,0.9258807771607447,5,0.07,3,0.5,20,50
28,model_9940,0.9995045471716197,0.04690572048229015,0.9940222599895217,0.056680716816146906,0.9844331641285956,0.9884128208796599,0.9244554657940485,5,0.07,3,0.5,30,50
29,model_9942,0.9995894718740662,0.04819061405804378,0.9942190474973485,0.057974666096239955,0.9824027072758037,0.987347479970569,0.9160738785818527,4,0.07,3,0.5,40,50
30,model_9944,0.9996768632691148,0.03625330423278125,0.994418390687095,0.04710468693244027,0.9888324873096447,0.987301494032047,0.9433092206885447,3,0.07,3,0.7,20,50
31,model_9922,0.9995247505586471,0.050352337117187417,0.9922000587806842,0.0619480472598181,0.9810490693739424,0.9866372526978417,0.9106429302725423,2,0.07,3,0.7,30,50
32,model_9927,0.999326945304263,0.0640641875794823,0.992767420166886,0.07441032115599483,0.9780033840947546,0.9850392413342054,0.8988562049342059,2,0.07,3,0.7,40,50
33,model_9938,0.9994831691690675,0.055401884835076264,0.9938561406647328,0.06488648044512482,0.9803722504230118,0.9828625735775016,0.9074516063537046,3,0.07,3,0.9,20,50
34,model_9966,0.9999925411914172,0.008514806146663967,0.9966878362319026,0.02040712936726019,0.9956006768189509,0.9908526303956835,0.9761959498104165,4,0.07,3,0.9,30,50
35,model_9945,0.9997448735080033,0.042332505296564904,0.9945333963734874,0.05249336281970493,0.9861252115059221,0.989300604970569,0.9316659343783154,2,0.07,3,0.9,40,50
36,model_9951,0.9999319897611114,0.025438659833992138,0.995192762308803,0.036362179981991205,0.9925549915397631,0.9926741845160236,0.9611271627911426,4,0.07,5,0.5,20,50
37,model_9953,0.9999671107653043,0.01889311592842331,0.9953614373155117,0.030758936704406204,0.9918781725888325,0.9888995053956835,0.9575932684994284,4,0.07,5,0.5,30,50
38,model_9962,0.9999795616898677,0.02168426561507265,0.9962022566671352,0.032386534322476394,0.9912013536379018,0.9885443917593197,0.954349376114082,4,0.07,5,0.5,40,50
39,model_9949,0.9999750981508733,0.02025410315715527,0.9949883077552167,0.03176530655256732,0.9949238578680203,0.9904975167593197,0.9727141607503744,2,0.07,5,0.7,20,50
40,model_9949,0.9997478100468155,0.04991913180167841,0.9949090816157021,0.06065942892233702,0.9824027072758037,0.987347479970569,0.9160738785818527,2,0.07,5,0.7,30,50
41,model_9945,0.9999203023366392,0.026038723410999807,0.9945282850096477,0.03757192570154987,0.9898477157360406,0.9878341644865926,0.9479821901346301,2,0.07,5,0.7,40,50
42,model_9970,0.9999362183770009,0.02461568661490877,0.9970124078357208,0.03506552948737592,0.9912013536379018,0.9885443917593197,0.954349376114082,3,0.07,5,0.9,20,50
43,model_9957,0.9999940094608233,0.008575575541925545,0.9957959032418825,0.021685378348299835,0.9956006768189509,0.987433064911707,0.9760374269005849,3,0.07,5,0.9,30,50
44,model_9953,0.9998849464093413,0.03457412488008693,0.995312879359035,0.04591883633540284,0.9847715736040609,0.9817512467298888,0.9249991962688828,3,0.07,5,0.9,40,50
45,model_9940,0.9997000031949542,0.0776337148900063,0.994063150900239,0.08847153427618203,0.9776649746192894,0.9780225535480707,0.8964443944150168,2,0.07,7,0.5,20,50
46,model_9980,0.9999999412692238,0.0028418982853783744,0.9980602374228503,0.015338752901785284,0.9969543147208122,0.9881432921844343,0.9831863336091884,5,0.07,7,0.5,30,50
47,model_9978,0.9999873141523317,0.019092587687685833,0.9978072249127874,0.028219813793805545,0.9939086294416244,0.9933844117887509,0.9677851909994768,3,0.07,7,0.5,40,50
48,model_9960,0.9993301167661801,0.0921856756078852,0.9960284702965869,0.10468650808041031,0.9732656514382403,0.9688751839437542,0.879066661624432,2,0.07,7,0.7,20,50
49,model_9971,0.9999924237298647,0.011626605496261037,0.9971146351125139,0.022307938435341686,0.9942470389170897,0.9867228376389797,0.9690760488504244,3,0.07,7,0.7,30,50
50,model_9972,0.9999787981897765,0.01858510239807436,0.9972296407989062,0.028363672215023165,0.9928934010152284,0.9928517413342054,0.962775807244006,2,0.07,7,0.7,40,50
51,model_9934,0.9993663536551216,0.08908167912441338,0.9934063406468431,0.1042012584266635,0.9681895093062606,0.9730509626389797,0.8631070659759185,2,0.07,7,0.9,20,50
52,model_9966,0.9999506074171802,0.028803028713476175,0.9966750578223035,0.03997884511974883,0.9878172588832488,0.9833492580935252,0.9383453033935005,2,0.07,7,0.9,30,50
53,model_9979,0.9999884300370803,0.016383153498711552,0.99791711923534,0.0265934463628757,0.993570219966159,0.9897872894865926,0.9658854975236681,2,0.07,7,0.9,40,50
54,model_9962,0.9999819109209174,0.015406981345324212,0.9962661487151309,0.027230106990277336,0.9942470389170897,0.9901424031229562,0.9692776533227654,6,0.1,3,0.5,20,50
55,model_9929,0.9993030418783324,0.06387177099622984,0.9929999872215904,0.07387411493655476,0.9769881556683587,0.9845065708796599,0.8950542747077355,3,0.1,3,0.5,30,50
56,model_9942,0.9997140985812524,0.038862062929073904,0.9942190474973485,0.04842927048928417,0.9857868020304569,0.9891230481523872,0.9302068993440764,4,0.1,3,0.5,40,50
57,model_9929,0.9991452322825692,0.07926686610445771,0.992902871308637,0.08978626042669736,0.9698815566835871,0.9807778776978417,0.8700569438096768,2,0.1,3,0.7,20,50
58,model_9941,0.9995259251741719,0.04981224257512139,0.9941040418109562,0.060375988206702855,0.9803722504230118,0.9862821390614781,0.9079727918624731,2,0.1,3,0.7,30,50
59,model_9923,0.9997518037395999,0.039470239683215246,0.9923380656043549,0.050378115227247285,0.9864636209813875,0.9894781617887509,0.9331336015532012,2,0.1,3,0.7,40,50
60,model_9945,0.9996780966154158,0.04187180923586361,0.9945487304650064,0.052317287628949986,0.9871404399323181,0.986413709941138,0.9357084947920961,2,0.1,3,0.9,20,50
61,model_9960,0.9998555222904439,0.024183454510422878,0.9960744725711438,0.03508419277063459,0.9912013536379018,0.9919639572432963,0.9546355254083569,2,0.1,3,0.9,30,50
