,Column,Feature,Importance Score
9786,Column_9786,center_z,272
9784,Column_9784,center_x,255
9783,Column_9783,Wert,247
9782,Column_9782,volume,246
9788,Column_9788,width,233
9789,Column_9789,height,217
9787,Column_9787,length,217
9785,Column_9785,center_y,207
6689,Column_6689,nst,34
1118,Column_1118,abd,24
7856,Column_7856,sch,23
347,Column_347, hi,20
1944,Column_1944,chei,20
2879,Column_2879,ege,20
9193,Column_9193,ung,17
8286,Column_8286,ste,17
3360,Column_3360,ens,16
319,Column_319, ha,16
348,Column_348, hi ,15
2252,Column_2252,de sa,15
1321,Column_1321,ante,15
6752,Column_6752,nten,14
108,Column_108, bremsle,14
2791,Column_2791,eck,14
5163,Column_5163,kant,14
5302,Column_5302,kle,13
4227,Column_4227,hau,13
4929,Column_4929,inn,13
6651,Column_6651,nne,12
1993,Column_1993,cht,11
2936,Column_2936,eidung v,11
4277,Column_4277,hec,11
8602,Column_8602,ten,11
1031,Column_1031, vo,11
1945,Column_1945,cheib,11
2953,Column_2953,einlegeb,11
2790,Column_2790,ech,11
8693,Column_8693,ter,10
6493,Column_6493,ng ,10
9194,Column_9194,ung ,10
2971,Column_2971,eit,10
323,Column_323, halteg,10
9483,Column_9483,verkl,10
3366,Column_3366,enst,10
5303,Column_5303,klei,10
8822,Column_8822,tra,10
1224,Column_1224,aeule ,10
1946,Column_1946,cheibe,9
3369,Column_3369,ensterf,9
3112,Column_3112,en ,9
2943,Column_2943,ein,9
196,Column_196, ei,8
6855,Column_6855,obe,8
1817,Column_1817,blende s,8
584,Column_584, mi,8
5090,Column_5090,itenverk,8
2974,Column_2974,eitenv,8
1320,Column_1320,ant,8
5230,Column_5230,kl ,7
1807,Column_1807,blende,7
1505,Column_1505,auss,7
9482,Column_9482,verk,7
5037,Column_5037,isp ,7
4158,Column_4158,gsschi,7
861,Column_861, st,7
6955,Column_6955,oile,7
3482,Column_3482,erk,7
1867,Column_1867,bremsle,7
2885,Column_2885,eger,7
2403,Column_2403,dung g,7
5741,Column_5741,lei,7
2902,Column_2902,ehr,7
2937,Column_2937,eil,6
6724,Column_6724,nte,6
4870,Column_4870,iler,6
1703,Column_1703,ben,6
4278,Column_4278,heck,6
2861,Column_2861,eg h,6
1033,Column_1033, vorn,6
3368,Column_3368,enster,6
1802,Column_1802,ble,6
1754,Column_1754,bezug s,6
1943,Column_1943,che,6
4063,Column_4063,ger,6
8505,Column_8505,te ,6
5768,Column_5768,lende,6
1506,Column_1506,ausse,6
7312,Column_7312,pvc,6
6954,Column_6954,oil,6
2253,Column_2253,de sae,6
2747,Column_2747,ebo,6
2999,Column_2999,el ,6
9213,Column_9213,ung h,6
675,Column_675, ob,6
5164,Column_5164,kante,5
1282,Column_1282,alte,5
3719,Column_3719,f hin,5
464,Column_464, is,5
7584,Column_7584,rkl,5
2251,Column_2251,de s,5
4925,Column_4925,inlegeb,5
528,Column_528, lad,5
1806,Column_1806,blend,5
107,Column_107, bremsl,5
5160,Column_5160,kan,5
7921,Column_7921,sen,5
7362,Column_7362,r h,5
3620,Column_3620,eule ,5
1956,Column_1956,chge,5
2930,Column_2930,eidung ,5
2005,Column_2005,chtu,5
1304,Column_1304,and,5
337,Column_337, hec,5
3367,Column_3367,enste,5
1368,Column_1368,appe ,5
367,Column_367, hi m,4
2009,Column_2009,chtung h,4
877,Column_877, stf ,4
2283,Column_2283,dec,4
4930,Column_4930,inne,4
1823,Column_1823,boden,4
1127,Column_1127,abdeckl,4
1124,Column_1124,abde,4
197,Column_197, ein,4
7450,Column_7450,rad,4
324,Column_324, haltegr,4
1808,Column_1808,blende ,4
522,Column_522, la,4
1805,Column_1805,blen,4
1804,Column_1804,blech,4
6986,Column_6986,onnenbl,4
