,Column,Feature,Importance Score
0,Column_0, ab,20
1,Column_1, abd,55
2,Column_2, abde,9
3,Column_3, abdec,11
4,Column_4, abdeck,3
5,Column_5, abl,0
6,Column_6, abs,0
7,Column_7, ac,0
8,Column_8, acs,0
9,Column_9, acsm,0
10,Column_10, ad,0
11,Column_11, ag,0
12,Column_12, agg,0
13,Column_13, aggr,0
14,Column_14, aggre,0
15,Column_15, aggreg,0
16,Column_16, aggrega,0
17,Column_17, ak,0
18,Column_18, al,1
19,Column_19, ale,0
20,Column_20, alev,0
21,Column_21, alu,0
22,Column_22, alu ,0
23,Column_23, am,9
24,Column_24, amb,0
25,Column_25, ambi,0
26,Column_26, ambie,0
27,Column_27, ambien,0
28,Column_28, ambient,0
29,Column_29, an,0
30,Column_30, as,14
31,Column_31, as ,0
32,Column_32, asa,1
33,Column_33, asae,2
34,Column_34, asaeu,0
35,Column_35, asaeul,0
36,Column_36, asaeule,0
37,Column_37, au,2
38,Column_38, auf,0
39,Column_39, aufn,0
40,Column_40, aufna,0
41,Column_41, aufnah,0
42,Column_42, aufnahm,0
43,Column_43, aus,1
44,Column_44, auss,0
45,Column_45, ausse,0
46,Column_46, aussen,1
47,Column_47, aussen ,0
48,Column_48, aut,0
49,Column_49, aw,0
50,Column_50, awd,0
51,Column_51, ba,0
52,Column_52, bas,0
53,Column_53, basi,0
54,Column_54, basis,0
55,Column_55, basis ,4
56,Column_56, bc,0
57,Column_57, bcx,0
58,Column_58, be,5
59,Column_59, bel,23
60,Column_60, bev,0
61,Column_61, bf,0
62,Column_62, bfs,0
63,Column_63, bfs ,0
64,Column_64, bfs r,0
65,Column_65, bfs rl,0
66,Column_66, bk,0
67,Column_67, bl,0
68,Column_68, ble,0
69,Column_69, blen,0
70,Column_70, blend,0
71,Column_71, blende,0
72,Column_72, blende ,0
73,Column_73, bo,8
74,Column_74, bod,0
75,Column_75, bode,0
76,Column_76, boden,0
77,Column_77, boden ,0
78,Column_78, bodenb,0
79,Column_79, bodenbl,0
80,Column_80, br,0
81,Column_81, bre,15
82,Column_82, bru,0
83,Column_83, brue,2
84,Column_84, brues,0
85,Column_85, bruest,0
86,Column_86, bruestu,1
87,Column_87, bs,0
88,Column_88, bsa,0
89,Column_89, bsae,0
90,Column_90, bsaeu,0
91,Column_91, bsaeul,0
92,Column_92, bsaeule,0
93,Column_93, bu,0
94,Column_94, ca,0
95,Column_95, ce,0
96,Column_96, cen,0
97,Column_97, cent,0
98,Column_98, cente,0
99,Column_99, center,0
100,Column_100, centers,0
101,Column_101, ch,0
102,Column_102, cs,0
103,Column_103, csa,0
104,Column_104, csae,0
105,Column_105, csaeu,0
106,Column_106, csaeul,0
107,Column_107, csaeule,0
108,Column_108, da,14
109,Column_109, dac,22
110,Column_110, dach,10
111,Column_111, de,0
112,Column_112, di,0
113,Column_113, dl,0
114,Column_114, dm,0
115,Column_115, do,0
116,Column_116, ds,0
117,Column_117, dsa,4
118,Column_118, dsae,2
119,Column_119, dsaeu,0
120,Column_120, dsaeul,0
121,Column_121, dsaeule,0
122,Column_122, du,1
123,Column_123, ec,15
124,Column_124, ece,0
125,Column_125, ece ,0
126,Column_126, ei,5
127,Column_127, ein,1
128,Column_128, eins,37
129,Column_129, einst,29
130,Column_130, einsti,18
131,Column_131, einstie,9
132,Column_132, el,2
133,Column_133, ele,0
134,Column_134, elek,0
135,Column_135, es,0
136,Column_136, esg,2
137,Column_137, et,0
138,Column_138, et ,0
139,Column_139, et r,0
140,Column_140, et ra,0
141,Column_141, et ra ,0
142,Column_142, fa,0
143,Column_143, fah,0
144,Column_144, fahr,0
145,Column_145, fe,11
146,Column_146, fed,0
147,Column_147, fede,0
148,Column_148, feder,0
149,Column_149, fen,12
150,Column_150, fens,12
151,Column_151, fenst,1
152,Column_152, fenste,4
153,Column_153, fenster,0
154,Column_154, fer,0
155,Column_155, fers,0
156,Column_156, ferse,0
157,Column_157, fersen,0
158,Column_158, fersenb,0
159,Column_159, fh,0
160,Column_160, fl,0
161,Column_161, fo,0
162,Column_162, fon,0
163,Column_163, fond,0
164,Column_164, fr,17
165,Column_165, fro,8
166,Column_166, fron,1
167,Column_167, front,3
168,Column_168, frontk,0
169,Column_169, frontkl,0
170,Column_170, fronts,1
171,Column_171, frontsc,23
172,Column_172, fs,0
173,Column_173, fs ,0
174,Column_174, ft,0
175,Column_175, fu,0
176,Column_176, fue,0
177,Column_177, fus,0
178,Column_178, fuss,0
179,Column_179, fussr,0
180,Column_180, fussra,0
181,Column_181, fussrau,0
182,Column_182, ge,0
183,Column_183, gep,3
184,Column_184, gepa,2
185,Column_185, gepae,0
186,Column_186, gepaec,0
187,Column_187, gepaeck,0
188,Column_188, get,0
189,Column_189, getr,0
190,Column_190, getri,0
191,Column_191, getrie,0
192,Column_192, getrieb,0
193,Column_193, gp,12
194,Column_194, gpr,6
195,Column_195, gpr ,9
196,Column_196, gr,3
197,Column_197, gra,28
198,Column_198, gu,0
199,Column_199, gur,0
200,Column_200, gurt,0
201,Column_201, gurta,0
202,Column_202, gurtau,0
203,Column_203, gw,18
204,Column_204, gws,9
205,Column_205, gx,1
206,Column_206, ha,6
207,Column_207, ha ,0
208,Column_208, haa,0
209,Column_209, haa ,0
210,Column_210, haa h,0
211,Column_211, haa hi,0
212,Column_212, haa v,0
213,Column_213, haa vo,0
214,Column_214, haa vor,0
215,Column_215, hal,1
216,Column_216, hall,0
217,Column_217, halt,58
218,Column_218, halte,17
219,Column_219, hc,0
220,Column_220, hcx,0
221,Column_221, he,2
222,Column_222, hea,0
223,Column_223, hec,0
224,Column_224, heck,1
225,Column_225, heckf,1
226,Column_226, heckfe,0
227,Column_227, heckfen,0
228,Column_228, heckk,2
229,Column_229, heckkl,0
230,Column_230, heckkla,0
231,Column_231, heckl,0
232,Column_232, heckle,0
233,Column_233, heckleu,0
234,Column_234, heckv,0
235,Column_235, heckve,0
236,Column_236, heckver,0
237,Column_237, hg,0
238,Column_238, hgl,0
239,Column_239, hgl ,0
240,Column_240, hi,68
241,Column_241, hi ,6
242,Column_242, hi a,1
243,Column_243, hi au,7
244,Column_244, hi aus,0
245,Column_245, hi auss,0
246,Column_246, hi b,0
247,Column_247, hi m,1
248,Column_248, hig,5
249,Column_249, high,1
250,Column_250, high ,0
251,Column_251, hin,2
252,Column_252, hint,0
253,Column_253, hinte,1
254,Column_254, hinten,18
255,Column_255, hinten ,5
256,Column_256, hk,7
257,Column_257, hkl,11
258,Column_258, hkl ,8
259,Column_259, ho,0
260,Column_260, hoc,7
261,Column_261, hoch,0
262,Column_262, hs,3
263,Column_263, hsk,0
264,Column_264, hu,0
265,Column_265, hud,1
266,Column_266, hy,4
267,Column_267, ic,0
268,Column_268, ice,0
269,Column_269, in,0
270,Column_270, inn,0
271,Column_271, inne,0
272,Column_272, innen,0
273,Column_273, innen ,0
274,Column_274, innen h,0
275,Column_275, innen v,0
276,Column_276, is,35
277,Column_277, iso,0
278,Column_278, isof,0
279,Column_279, isofi,0
280,Column_280, isofix,0
281,Column_281, it,0
282,Column_282, ita,0
283,Column_283, itaf,0
284,Column_284, itafe,0
285,Column_285, itafel,0
286,Column_286, itafel ,1
287,Column_287, jp,0
288,Column_288, ka,1
289,Column_289, kar,0
290,Column_290, kart,0
291,Column_291, karte,0
292,Column_292, karten,0
293,Column_293, kartent,0
294,Column_294, kb,0
295,Column_295, ki,0
296,Column_296, kis,0
297,Column_297, kl,0
298,Column_298, ko,0
299,Column_299, kon,0
300,Column_300, kons,0
301,Column_301, konso,0
302,Column_302, konsol,0
303,Column_303, konsole,0
304,Column_304, kont,0
305,Column_305, kontu,0
306,Column_306, kontur,0
307,Column_307, ku,0
308,Column_308, kun,0
309,Column_309, kuns,0
310,Column_310, kunst,0
311,Column_311, kunsts,0
312,Column_312, kunstst,0
313,Column_313, la,11
314,Column_314, lad,65
315,Column_315, lade,20
316,Column_316, lae,0
317,Column_317, laen,0
318,Column_318, laeng,0
319,Column_319, laengs,0
320,Column_320, laengst,0
321,Column_321, lc,0
322,Column_322, lci,1
323,Column_323, lci ,2
324,Column_324, le,1
325,Column_325, le ,0
326,Column_326, led,0
327,Column_327, lede,8
328,Column_328, leder,5
329,Column_329, leh,0
330,Column_330, lehn,0
331,Column_331, lehne,0
332,Column_332, lehne ,0
