,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test af1_score,Training Time (s),lr,depth,colsample_bylevel,min_data_in_leaf,test f1_score,early stopping (iterations)
0,model_9920,0.9999277821995411,0.014309979769658985,0.9920293796911352,0.02169577386147322,0.9945872801082544,0.9527049287087901,,88,0.05,4,0.5,20,0.9687318192876861,50.0
1,model_9920,0.9999277821995411,0.014309979769658985,0.9920293796911352,0.02169577386147322,0.9945872801082544,0.9527049287087901,,95,0.05,4,0.5,30,0.9687318192876861,50
2,model_9920,0.9999277821995411,0.014309979769658985,0.9920293796911352,0.02169577386147322,0.9945872801082544,0.9527049287087901,,99,0.05,4,0.5,40,0.9687318192876861,50
3,model_9922,0.9999426471276746,0.013019958526766745,0.9922234736172724,0.02007004321845835,0.9945872801082544,0.9527049287087901,,89,0.05,4,0.7,20,0.9687318192876861,50
4,model_9922,0.9999426471276746,0.013019958526766745,0.9922234736172724,0.02007004321845835,0.9945872801082544,0.9527049287087901,,92,0.05,4,0.7,30,0.9687318192876861,50
5,model_9922,0.9999426471276746,0.013019958526766745,0.9922234736172724,0.02007004321845835,0.9945872801082544,0.9527049287087901,,109,0.05,4,0.7,40,0.9687318192876861,50
6,model_9919,0.9999915726391685,0.008481177680782742,0.9919093479210243,0.016925653191127807,0.9952638700947226,0.9598991733131067,,110,0.05,4,0.9,20,0.9728333792849923,50
7,model_9919,0.9999915726391685,0.008481177680782742,0.9919093479210243,0.016925653191127807,0.9952638700947226,0.9598991733131067,,98,0.05,4,0.9,30,0.9728333792849923,50
8,model_9919,0.9999915726391685,0.008481177680782742,0.9919093479210243,0.016925653191127807,0.9952638700947226,0.9598991733131067,,137,0.05,4,0.9,40,0.9728333792849923,50
9,model_9886,0.9907575846247484,0.07139715069726019,0.9886582746582286,0.07229482659292491,0.9648173207036536,0.6327385376044212,,101,0.05,6,0.5,20,0.6987964555989702,50
10,model_9886,0.9907575846247484,0.07139715069726019,0.9886582746582286,0.07229482659292491,0.9648173207036536,0.6327385376044212,,100,0.05,6,0.5,30,0.6987964555989702,50
11,model_9886,0.9907575846247484,0.07139715069726019,0.9886582746582286,0.07229482659292491,0.9648173207036536,0.6327385376044212,,100,0.05,6,0.5,40,0.6987964555989702,50
12,model_9904,0.9999830282316587,0.01074814743486675,0.990463858944793,0.01848031411851657,0.9949255751014885,0.9528824224965076,,132,0.05,6,0.7,20,0.9705815029707109,50
13,model_9904,0.9999830282316587,0.01074814743486675,0.990463858944793,0.01848031411851657,0.9949255751014885,0.9528824224965076,,129,0.05,6,0.7,30,0.9705815029707109,50
14,model_9904,0.9999830282316587,0.01074814743486675,0.990463858944793,0.01848031411851657,0.9949255751014885,0.9528824224965076,,128,0.05,6,0.7,40,0.9705815029707109,50
15,model_9935,0.999999473289948,0.005760320285783392,0.9935387153535957,0.015085469759605804,0.9956021650879567,0.963496295615265,,149,0.05,6,0.9,20,0.9748624821827017,50
