,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test af1_score,Training Time (s),lr,depth,colsample_bylevel,min_data_in_leaf,test f1_score,early stopping (iterations)
0,model_9999,0.9999986059240855,0.017877447722507843,0.9999950135899284,0.029241408480588114,0.9935723951285521,0.8565548993664011,,524,0.05,4,0.5,20,0.8827317422007688,50.0
1,model_9999,0.9999986059240855,0.017877447722507843,0.9999950135899284,0.029241408480588114,0.9935723951285521,0.8565548993664011,,494,0.05,4,0.5,30,0.8827317422007688,50
2,model_9999,0.9999986059240855,0.017877447722507843,0.9999950135899284,0.029241408480588114,0.9935723951285521,0.8565548993664011,,488,0.05,4,0.5,40,0.8827317422007688,50
3,model_9999,0.9999995539872565,0.014549182342971718,0.9999943412649749,0.025319396585613555,0.9939106901217862,0.8868579296694313,,562,0.05,4,0.7,20,0.9130401197315695,50
4,model_9999,0.9999995539872565,0.014549182342971718,0.9999943412649749,0.025319396585613555,0.9939106901217862,0.8868579296694313,,564,0.05,4,0.7,30,0.9130401197315695,50
5,model_9999,0.9999995539872565,0.014549182342971718,0.9999943412649749,0.025319396585613555,0.9939106901217862,0.8868579296694313,,555,0.05,4,0.7,40,0.9130401197315695,50
6,model_9999,0.9999994462585468,0.01593174324348906,0.9999954618065641,0.026136442362864176,0.9942489851150202,0.8929185357300374,,520,0.05,4,0.9,20,0.9164124722198377,50
7,model_9999,0.9999994462585468,0.01593174324348906,0.9999954618065641,0.026136442362864176,0.9942489851150202,0.8929185357300374,,514,0.05,4,0.9,30,0.9164124722198377,50
8,model_9999,0.9999994462585468,0.01593174324348906,0.9999954618065641,0.026136442362864176,0.9942489851150202,0.8929185357300374,,516,0.05,4,0.9,40,0.9164124722198377,50
9,model_9999,0.999999847464119,0.011039037589441069,0.9999918088409835,0.0226997007504193,0.9935723951285521,0.8807973236088252,,1666,0.05,6,0.5,20,0.9096677691367957,50
10,model_9999,0.999999847464119,0.011039037589441069,0.9999918088409835,0.0226997007504193,0.9935723951285521,0.8807973236088252,,1676,0.05,6,0.5,30,0.9096677691367957,50
11,model_9999,0.999999847464119,0.011039037589441069,0.9999918088409835,0.0226997007504193,0.9935723951285521,0.8807973236088252,,1689,0.05,6,0.5,40,0.9096677691367957,50
12,model_9999,0.9999999084400052,0.010192734036572622,0.9999944197028863,0.021920902031244853,0.9939106901217862,0.8868579296694312,,1806,0.05,6,0.7,20,0.9130401197315695,50
13,model_9999,0.9999999084400052,0.010192734036572622,0.9999944197028863,0.021920902031244853,0.9939106901217862,0.8868579296694312,,1809,0.05,6,0.7,30,0.9130401197315695,50
14,model_9999,0.9999999084400052,0.010192734036572622,0.9999944197028863,0.021920902031244853,0.9939106901217862,0.8868579296694312,,1917,0.05,6,0.7,40,0.9130401197315695,50
15,model_9999,0.999999739628328,0.01319057738080993,0.9999951368495031,0.02518456593855835,0.993234100135318,0.874736717548219,,1507,0.05,6,0.9,20,0.9054536695927601,50
16,model_9999,0.999999739628328,0.01319057738080993,0.9999951368495031,0.02518456593855835,0.993234100135318,0.874736717548219,,1543,0.05,6,0.9,30,0.9054536695927601,50
17,model_9999,0.999999739628328,0.01319057738080993,0.9999951368495031,0.02518456593855835,0.993234100135318,0.874736717548219,,1534,0.05,6,0.9,40,0.9054536695927601,50
18,model_9999,0.999999737823545,0.012323638093648078,0.9999932207233858,0.02440910825956205,0.993234100135318,0.874736717548219,,2609,0.05,9,0.5,20,0.9054536695927601,50
19,model_9999,0.999999737823545,0.012323638093648078,0.9999932207233858,0.02440910825956205,0.993234100135318,0.874736717548219,,2622,0.05,9,0.5,30,0.9054536695927601,50
20,model_9999,0.999999737823545,0.012323638093648078,0.9999932207233858,0.02440910825956205,0.993234100135318,0.874736717548219,,2533,0.05,9,0.5,40,0.9054536695927601,50
21,model_9999,0.9999998917894256,0.010198752886237186,0.9999934560371194,0.02384886326770415,0.9935723951285521,0.8807973236088252,,2780,0.05,9,0.7,20,0.9096677691367957,50
22,model_9999,0.9999998917894256,0.010198752886237186,0.9999934560371194,0.02384886326770415,0.9935723951285521,0.8807973236088252,,2823,0.05,9,0.7,30,0.9096677691367957,50
23,model_9999,0.9999998917894256,0.010198752886237186,0.9999934560371194,0.02384886326770415,0.9935723951285521,0.8807973236088252,,2927,0.05,9,0.7,40,0.9096677691367957,50
24,model_9999,0.9999999178568979,0.009802051460964079,0.999994733454531,0.02198537809521968,0.9935723951285521,0.8807973236088252,,3127,0.05,9,0.9,20,0.9088260182950448,50
25,model_9999,0.9999999178568979,0.009802051460964079,0.999994733454531,0.02198537809521968,0.9935723951285521,0.8807973236088252,,3184,0.05,9,0.9,30,0.9088260182950448,50
26,model_9999,0.9999999178568979,0.009802051460964079,0.999994733454531,0.02198537809521968,0.9935723951285521,0.8807973236088252,,3098,0.05,9,0.9,40,0.9088260182950448,50
27,model_9999,0.9999997591170748,0.012888585657817078,0.9999945317570451,0.024472383762638574,0.9942489851150202,0.8929185357300374,,422,0.07,4,0.5,20,0.9164124722198377,50
28,model_9999,0.9999997591170748,0.012888585657817078,0.9999945317570451,0.024472383762638574,0.9942489851150202,0.8929185357300374,,420,0.07,4,0.5,30,0.9164124722198377,50
29,model_9999,0.9999997591170748,0.012888585657817078,0.9999945317570451,0.024472383762638574,0.9942489851150202,0.8929185357300374,,409,0.07,4,0.5,40,0.9164124722198377,50
30,model_9999,0.9999999215392376,0.009517014441769717,0.9999948343032743,0.021805678098815316,0.9949255751014885,0.9040296468411484,,521,0.07,4,0.7,20,0.9239377154795955,50
31,model_9999,0.9999999215392376,0.009517014441769717,0.9999948343032743,0.021805678098815316,0.9949255751014885,0.9040296468411484,,509,0.07,4,0.7,30,0.9239377154795955,50
32,model_9999,0.9999999215392376,0.009517014441769717,0.9999948343032743,0.021805678098815316,0.9949255751014885,0.9040296468411484,,517,0.07,4,0.7,40,0.9239377154795955,50
