,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test f1_score,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,patience
0,model_9964,0.999648555034966,0.04065120749318551,0.9964143782664809,0.04896227132806089,0.9878172588832488,0.9901883890614781,0.939092258224091,9,0.05,3,0.5,20,50.0
1,model_9963,0.9993119689563212,0.06588331898409752,0.9963785987196033,0.07367237611799843,0.9752961082910322,0.9836187867887509,0.8888519050757193,5,0.05,3,0.5,30,50
2,model_9960,0.9994172732381237,0.05824731026552234,0.9960182475689076,0.0661479582297275,0.9780033840947546,0.9850392413342054,0.8988562049342059,5,0.05,3,0.5,40,50
3,model_9966,0.9996806220387943,0.03580085225122814,0.9966852805499827,0.04538426302964046,0.9874788494077834,0.9865912667593197,0.937210307995973,3,0.05,3,0.7,20,50
4,model_9967,0.9996604186517669,0.03742572083185828,0.996772173735257,0.04637708770657322,0.9861252115059221,0.989300604970569,0.9316659343783154,3,0.05,3,0.7,30,50
5,model_9958,0.9995064265564595,0.05596412085607801,0.9958495725621989,0.06480467631568437,0.9807106598984772,0.9864596958796599,0.9093041400733708,3,0.05,3,0.7,40,50
6,model_9965,0.999720793889744,0.03270548590568084,0.9965651634997508,0.04286022455661782,0.9895093062605753,0.9876566076684108,0.9464149398224653,4,0.05,3,0.9,20,50
7,model_9963,0.9995019042866888,0.051789799419275,0.9963300407631266,0.060860867067334345,0.9807106598984772,0.9864596958796599,0.9093041400733708,3,0.05,3,0.9,30,50
8,model_9965,0.9996281167248336,0.04857558260666308,0.9965983873647086,0.05662878267626637,0.9813874788494078,0.9868148095160236,0.9119892302218775,3,0.05,3,0.9,40,50
9,model_9970,0.9998361998650601,0.040946719561162054,0.9970865226113957,0.04928417449888172,0.9854483925549915,0.9889454913342054,0.9287564149503598,4,0.05,5,0.5,20,50
10,model_9962,0.9998260394407702,0.04291113213317128,0.9962968168981688,0.053083687016146026,0.9834179357021997,0.984460584941138,0.9197634269292768,4,0.05,5,0.5,30,50
11,model_9970,0.9998553460981152,0.039030098653887235,0.9970047407899613,0.048477113883188684,0.983756345177665,0.9880577072432963,0.921629470501651,5,0.05,5,0.5,40,50
12,model_9970,0.9999839077673096,0.016597141182030248,0.9970762998837165,0.02719125716899831,0.9949238578680203,0.9939170822432963,0.9728920470494988,4,0.05,5,0.7,20,50
13,model_9968,0.9999880189216466,0.01457232975584329,0.9968207316917337,0.026558013666962817,0.9942470389170897,0.9901424031229562,0.9692776533227654,3,0.05,5,0.7,30,50
14,model_9964,0.9999560106485945,0.019662661074511364,0.9964092669026413,0.03146564440965831,0.9928934010152284,0.9860126103662525,0.9622944972630016,3,0.05,5,0.7,40,50
15,model_9980,0.999953955071426,0.021453419620000108,0.9980602374228503,0.03076219770498907,0.9942470389170897,0.9901424031229562,0.9692776533227654,4,0.05,5,0.9,20,50
16,model_9962,0.9998537603671567,0.03813688032271494,0.9962789271247301,0.04884380072348463,0.9847715736040609,0.9851708122138653,0.9254427598317716,2,0.05,5,0.9,30,50
17,model_9971,0.999895048102855,0.03564817897662759,0.9971836385243492,0.04661753400355595,0.9864636209813875,0.9860585963047743,0.9327317510687798,2,0.05,5,0.9,40,50
18,model_9958,0.9995414888298763,0.08845342975145111,0.9958444611983592,0.0993269396046509,0.9729272419627749,0.9755367580935252,0.8791668029703295,2,0.05,7,0.5,20,50
19,model_9970,0.9999893109987239,0.014619932557976197,0.997099301020995,0.025191263565927595,0.9939086294416244,0.986545280820798,0.9673640937538348,4,0.05,7,0.5,30,50
20,model_9985,0.9999990603075801,0.0063425944848982865,0.998571373806816,0.01609567449425156,0.9966159052453468,0.984546169882276,0.9812547576757168,5,0.05,7,0.5,40,50
21,model_9949,0.9994219717002231,0.0884184174715634,0.994925693548181,0.10173257383322067,0.9698815566835871,0.9739387467298888,0.8687118389727579,2,0.05,7,0.7,20,50
22,model_9980,0.9999964761534255,0.008389349242864302,0.9980474590132512,0.019092037335324122,0.9949238578680203,0.9836583857913669,0.9723508771929824,3,0.05,7,0.7,30,50
23,model_9981,0.9999990015768039,0.005404672633166934,0.9981113510612469,0.017329924283826122,0.9966159052453468,0.9879657353662525,0.9813810884785797,4,0.05,7,0.7,40,50
24,model_9942,0.9993302929585088,0.0843320767732338,0.9942522713623062,0.10010407424158327,0.9725888324873097,0.9753592012753434,0.8779810167203552,2,0.05,7,0.9,20,50
25,model_9971,0.999988136383199,0.013323965950738481,0.9971785271605096,0.02472693271121816,0.9942470389170897,0.9901424031229562,0.9692776533227654,3,0.05,7,0.9,30,50
26,model_9966,0.9999904268834725,0.015393308761232929,0.9966801691861431,0.026959757513230924,0.993570219966159,0.9897872894865926,0.9658854975236681,3,0.05,7,0.9,40,50
27,model_9966,0.9996260024168889,0.0433503532256231,0.9966264998658267,0.051602294042312764,0.9840947546531302,0.9882352640614781,0.9230383890954288,7,0.07,3,0.5,20,50
28,model_9962,0.9993580726156714,0.0582362050294139,0.9962968168981688,0.0662900244251281,0.9803722504230118,0.9862821390614781,0.9079727918624731,4,0.07,3,0.5,30,50
29,model_9974,0.999816055208809,0.03188849932376523,0.9974519851259313,0.0403093659958906,0.9895093062605753,0.9910761731523872,0.9467450254952994,6,0.07,3,0.5,40,50
30,model_9970,0.99971351127349,0.0320446053129965,0.9970865226113957,0.041491353672585295,0.9898477157360406,0.9878341644865926,0.9479821901346301,3,0.07,3,0.7,20,50
31,model_9964,0.9994935057856862,0.05201785209784288,0.9964143782664809,0.06156727799123888,0.9810490693739424,0.9866372526978417,0.9106429302725423,2,0.07,3,0.7,30,50
32,model_9961,0.9993399835365888,0.06248469638006473,0.9961894782575361,0.07136951003099572,0.9786802030456853,0.985394354970569,0.901425364919153,2,0.07,3,0.7,40,50
