,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test f1_score,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,patience
0,model_9999,1.0,8.893413701522086e-05,0.9999951558210882,0.023289140386362133,0.9972927241962775,0.9636148415977962,0.9728373048071093,76,0.05,3,0.5,20,50.0
1,model_9999,1.0,0.00010632661789310699,0.9999965014263416,0.021735287554248403,0.9972927241962775,0.9636040805785123,0.9641846527955981,74,0.05,3,0.5,30,50
2,model_9999,0.999999994455486,0.00042807617598282683,0.9999948867000377,0.02572498081273882,0.9959390862944163,0.9635610365013774,0.9536029456037856,59,0.05,3,0.5,40,50
3,model_9999,1.0,7.776416082519181e-05,0.9999974433500187,0.023087300529782896,0.9959390862944163,0.9398667068411387,0.9524398830267523,35,0.05,3,0.7,20,50
4,model_9999,1.0,0.00011012966630366216,0.9999966359868668,0.022881912295555584,0.9966159052453468,0.9484525654269972,0.9561062209848207,37,0.05,3,0.7,30,50
5,model_9999,0.999999994455486,0.0006473814675257921,0.9999936756553096,0.027979425403248097,0.9952622673434857,0.9574896694214876,0.9482826735398644,31,0.05,3,0.7,40,50
6,model_9999,1.0,0.0001640008727506206,0.9999956940631894,0.024710812693804277,0.9956006768189509,0.932290949265381,0.9505270180728433,37,0.05,3,0.9,20,50
7,model_9999,1.0,7.431605730494994e-05,0.9999966359868668,0.023205021476787782,0.9966159052453468,0.9424027203856749,0.9550349189035144,53,0.05,3,0.9,30,50
8,model_9999,1.0,0.00011814946110909125,0.9999932719737338,0.024711182118884515,0.9949238578680203,0.9362990702479339,0.9393754845105411,38,0.05,3,0.9,40,50
9,model_9999,1.0,8.720062634522947e-05,0.999993810215835,0.020605528777815067,0.9972927241962775,0.9626047405876951,0.971934335722322,74,0.05,5,0.5,20,50
10,model_9999,1.0,0.00014478050377333547,0.999995828623715,0.021655051405219478,0.9966159052453468,0.9524929694674014,0.9587845191176643,61,0.05,5,0.5,30,50
11,model_9999,1.0,0.0001285192207870537,0.9999930028526831,0.020558883822071536,0.9959390862944163,0.9373414543158862,0.9465476271344965,60,0.05,5,0.5,40,50
12,model_9999,1.0,0.00010171299454955964,0.9999955595026644,0.022389016422374775,0.9959390862944163,0.9504620064279156,0.9580949969587946,38,0.05,5,0.7,20,50
13,model_9999,1.0,0.0002181537754797667,0.9999970396684428,0.022601615304654557,0.9959390862944163,0.9524714474288338,0.9521490543818385,33,0.05,5,0.7,30,50
14,model_9999,1.0,0.0006865680173549416,0.9999963668658163,0.025581088331494084,0.9949238578680203,0.9463893193296602,0.941922573953824,26,0.05,5,0.7,40,50
15,model_9999,1.0,7.539292853395361e-05,0.999996736907261,0.025407105282550357,0.9959390862944163,0.9464216023875114,0.9578785467423444,43,0.05,5,0.9,20,50
16,model_9999,1.0,0.000176109134383609,0.999994617578987,0.023317592437546726,0.9952622673434857,0.9363098312672177,0.9457487676050164,33,0.05,5,0.9,30,50
17,model_9999,1.0,0.0013115284368065312,0.9999905807632271,0.035115330233340555,0.9912013536379018,0.9301308539944904,0.9066146311600857,26,0.05,5,0.9,40,50
18,model_9999,1.0,5.357470368299817e-05,0.999994617578987,0.019304152675831094,0.9976311336717428,0.9676552456382002,0.9746945266708114,83,0.05,7,0.5,20,50
19,model_9999,1.0,7.494970012638173e-05,0.9999944830184617,0.020193716571005483,0.9972927241962775,0.9626047405876951,0.9713833715349941,71,0.05,7,0.5,30,50
20,model_9999,1.0,9.934871661184876e-05,0.9999939447763603,0.020064991322423485,0.9972927241962775,0.9676444846189165,0.9703601370606889,67,0.05,7,0.5,40,50
21,model_9999,1.0,4.939273913140813e-05,0.9999912535658539,0.022703919624659154,0.9962774957698816,0.9403825183654728,0.9591236243197423,42,0.05,7,0.7,20,50
22,model_9995,0.999944367793529,0.8466001950244925,0.9995987741536142,1.4623822965560032,0.9028764805414552,0.9565721131772268,0.5565257614550927,15,0.05,7,0.7,30,50
23,model_9999,1.0,0.00020313915469139248,0.9999963668658163,0.02010916137350364,0.9962774957698816,0.9484418044077135,0.9495679727163897,36,0.05,7,0.7,40,50
