,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,test f1_score,early stopping (iterations)
0,model_9975,0.9997880869890913,0.044115977729571154,0.9975227485743035,0.05081329034707535,0.9908660351826793,0.9781095251594252,16,0.05,3,0.5,20,0.9518338699408274,50.0
1,model_9978,0.999584016105623,0.04230411869577734,0.9978087817286108,0.04815861141880673,0.9905277401894452,0.9779320313717077,14,0.05,3,0.5,30,0.9502098252098252,50
2,model_9984,0.9998467273748771,0.02659979255150374,0.9984932182049887,0.03253865551867037,0.9928958051420839,0.9791744878857298,17,0.05,3,0.5,40,0.9618004894627663,50
3,model_9982,0.9999738400674189,0.01664625101297913,0.9982940165439533,0.02482592326117536,0.993234100135318,0.9759323531590063,7,0.05,3,0.7,20,0.9632575032503934,50
4,model_9970,0.9994475396788239,0.05437452797251452,0.9970579446985542,0.06066457319227626,0.9891745602165088,0.9738024277063972,5,0.05,3,0.7,30,0.9434587070196034,50
5,model_9978,0.9996486843953368,0.04008857082390251,0.997813889463509,0.04700934231898346,0.9912043301759134,0.9817066474615834,5,0.05,3,0.7,40,0.9537662662662663,50
6,model_9969,0.9997746266210965,0.04596955524290856,0.9969711132052824,0.053604860073347936,0.9901894451962111,0.9777545375839903,5,0.05,3,0.9,20,0.9485960825230639,50
7,model_9975,0.9995230347862728,0.05124962371477285,0.9975712720558377,0.05716185338719473,0.9895128552097429,0.9739799214941146,4,0.05,3,0.9,30,0.9450509847660338,50
8,model_9979,0.9997525047989138,0.034752066323581084,0.9979262596312726,0.04071730567266259,0.9918809201623816,0.9820616350370183,5,0.05,3,0.9,40,0.9570476820133536,50
9,model_9988,0.9999913970691512,0.012570578278475237,0.9988865137921612,0.02032122521274789,0.9945872801082544,0.9834815853387577,12,0.05,5,0.5,20,0.9706060026003147,50
10,model_9989,0.9999871248653963,0.011450980051633282,0.9989324834062463,0.019407007150338943,0.9949255751014885,0.9768198220975934,13,0.05,5,0.5,30,0.9719776959143935,50
11,model_9986,0.9999779952244955,0.016566934470621058,0.9986030345053031,0.023943644324345946,0.9935723951285521,0.9795294754611645,11,0.05,5,0.5,40,0.9652100658149438,50
12,model_9984,0.9999620768762583,0.025425359054626628,0.9984063867117169,0.03334949919272313,0.9935723951285521,0.9829491039756054,4,0.05,5,0.7,20,0.96543853808536,50
13,model_9984,0.9998737651575448,0.034023631769308484,0.9984319253862086,0.04087587543810567,0.9915426251691475,0.9750448842204192,4,0.05,5,0.7,30,0.9548208699458522,50
14,model_9982,0.9998889227023737,0.031300445734629166,0.9982965704114025,0.0383419238892892,0.9922192151556157,0.9788195003102949,4,0.05,5,0.7,40,0.9584352003501841,50
15,model_9983,0.9999770003277307,0.025303224042388578,0.9983987251093693,0.033034144843993786,0.9925575101488497,0.9789969940980123,4,0.05,5,0.9,20,0.9601123664421791,50
16,model_9985,0.9999792242146168,0.017437979546663637,0.9985059875422346,0.02606595375321339,0.993234100135318,0.9759323531590063,5,0.05,5,0.9,30,0.9632575032503934,50
17,model_9985,0.9999532983753922,0.02057115735211216,0.9985213107469296,0.029173336016699632,0.9928958051420839,0.9791744878857298,4,0.05,5,0.9,40,0.9618004894627663,50
18,model_9987,0.9999995318132872,0.003698576520467432,0.99873583561266,0.013073269821423013,0.9952638700947226,0.9701580588564293,16,0.05,7,0.5,20,0.9733956655455097,50
19,model_9988,0.9999734889273842,0.019957130432855977,0.9988175593710336,0.027515001050269654,0.9952638700947226,0.9769973158853109,7,0.05,7,0.5,30,0.9737571022727273,50
20,model_9990,0.9999990636265743,0.003887900835349624,0.9990116532971706,0.012356630876627252,0.9962787550744249,0.9775297972484632,11,0.05,7,0.5,40,0.9791683617411805,50
21,model_9981,0.9999870078187181,0.016876429950990854,0.9981024764852655,0.02659466265467423,0.9935723951285521,0.972690218432283,4,0.05,7,0.7,20,0.9647434066516971,50
22,model_9982,0.9999898754623344,0.014300885586169666,0.9982991242788517,0.023754290717700514,0.9949255751014885,0.9802394506120343,4,0.05,7,0.7,30,0.9721658473566029,50
23,model_9982,0.9999911044524556,0.01222104918014423,0.9982684778694616,0.021164367634993308,0.9952638700947226,0.9769973158853109,4,0.05,7,0.7,40,0.9737571022727273,50
24,model_9982,0.9999947914228194,0.010445845796914493,0.9982148466530291,0.021031783711753783,0.9945872801082544,0.9732226997954352,5,0.05,7,0.9,20,0.9700081168831169,50
25,model_9980,0.9999764150943397,0.02269396625102972,0.998082045545672,0.03253314669958348,0.9922192151556157,0.9719802432814132,4,0.05,7,0.9,30,0.9578858691444057,50
26,model_9984,0.999991280022473,0.00959978726492827,0.9984089405791661,0.018436744279976228,0.9942489851150202,0.9730452060077177,5,0.05,7,0.9,40,0.9682413887029793,50
27,model_9969,0.9996860222856875,0.052044716472229864,0.9969302513260957,0.05809237670349581,0.9884979702300406,0.9768670686454032,9,0.07,3,0.5,20,0.9406783062412201,50
