,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,test f1_score,early stopping (iterations)
0,model_9999,0.9999999873919889,0.0015573816088791693,0.9999923467009463,0.04034864050727599,0.9942489851150202,0.9524069233334409,76,0.05,3,0.5,20,0.9274063917890242,50.0
1,model_9999,0.9999999873919889,0.0009785368809018158,0.9999922458522033,0.032394149534031975,0.9959404600811907,0.9524607093297189,78,0.05,3,0.5,30,0.940548197326436,50
2,model_9999,0.9999999969980926,0.000783093863833613,0.9999913830351796,0.03039527428091077,0.9959404600811907,0.9524607093297189,73,0.05,3,0.5,40,0.940548197326436,50
3,model_9999,0.9999999969980926,0.0007427502197475989,0.9999925820146799,0.03141727784229209,0.9956021650879567,0.9524499521304632,29,0.05,3,0.7,20,0.9360859836712109,50
4,model_9999,0.9999999969980926,0.0006130980621175103,0.9999927276850865,0.029371207230354822,0.9959404600811907,0.944895708953217,31,0.05,3,0.7,30,0.9380044657853805,50
5,model_9999,0.9999998938925803,0.0020204341073631667,0.9999939938970822,0.051455258353497825,0.9928958051420839,0.9523638945364186,24,0.05,3,0.7,40,0.915600266078735,50
6,model_9999,0.9999999969980926,0.0008280567663114809,0.999992066565549,0.03179313247280857,0.9949255751014885,0.9342788911479006,29,0.05,3,0.9,20,0.9278873361072213,50
7,model_9999,0.9999999969980926,0.0008456125752621235,0.9999921898251237,0.03390959018579055,0.9952638700947226,0.9388243456933554,27,0.05,3,0.9,30,0.9312597037611156,50
8,model_9999,0.999999958573678,0.001266241900302666,0.9999919433059742,0.04110791378231464,0.9939106901217862,0.9387813168963329,25,0.05,3,0.9,40,0.9231923020124696,50
9,model_9999,0.9999999969980926,0.00012849073449792907,0.9999939602808346,0.020587332654059824,0.996617050067659,0.9413926270156302,97,0.05,5,0.5,20,0.9432176287913121,50
10,model_9999,0.9999999969980926,9.909916652067112e-05,0.9999972770839384,0.0199003346578748,0.996617050067659,0.9464323748668797,105,0.05,5,0.5,30,0.9431563933886252,50
11,model_9999,0.9999999969980926,0.00012527974562104232,0.9999956298878024,0.02182061635861512,0.9962787550744249,0.9413818698163746,119,0.05,5,0.5,40,0.9398452420623403,50
12,model_9999,0.9999999969980926,8.420273912419789e-05,0.9999968400727186,0.021785572423713515,0.9949255751014885,0.9221791934251998,63,0.05,5,0.7,20,0.9262945378999539,50
13,model_9999,0.9999999969980926,0.00017791021820333188,0.9999968400727186,0.021024050307715595,0.9959404600811907,0.9343111627456675,56,0.05,5,0.7,30,0.9355699053114779,50
14,model_9999,0.9999999969980926,0.0001560838932835444,0.9999955738607229,0.022301435134039517,0.9959404600811907,0.9343111627456675,58,0.05,5,0.7,40,0.9355699053114779,50
15,model_9999,0.9999999969980926,0.00013180950925557153,0.9999966831968963,0.024282181075978983,0.9942489851150202,0.9100579813039877,51,0.05,5,0.9,20,0.917866314200625,50
16,model_9999,0.9999999969980926,0.00011868190125166135,0.9999901616448476,0.022599036576923436,0.9959404600811907,0.9343111627456675,40,0.05,5,0.9,30,0.9364116561532287,50
17,model_9999,0.9999999969980926,0.0001798290417627659,0.999992783712166,0.025748721647280606,0.9959404600811907,0.9403610116070181,37,0.05,5,0.9,40,0.9370238176106868,50
18,model_9999,0.9999999969980926,0.00010675919696921789,0.9999907219156422,0.019171720140262492,0.996617050067659,0.9413926270156302,100,0.05,7,0.5,20,0.9432176287913121,50
19,model_9999,0.9999999969980926,9.189501045698024e-05,0.9999969633322934,0.01896561750913657,0.996617050067659,0.9464323748668797,109,0.05,7,0.5,30,0.9431563933886252,50
20,model_9999,0.9999999969980926,0.00010598509509085642,0.9999954057794845,0.01966809187552274,0.9962787550744249,0.9413818698163746,92,0.05,7,0.5,40,0.9398452420623403,50
21,model_9999,0.9999999969980926,0.00010392888746550546,0.9999976020409993,0.019652466397541497,0.9952638700947226,0.9292499004959069,49,0.05,7,0.7,20,0.9288863691594672,50
22,model_9999,0.9999999969980926,9.158243807777167e-05,0.9999962685965081,0.019723710282416852,0.996617050067659,0.9464323748668797,57,0.05,7,0.7,30,0.9431563933886252,50
23,model_9999,0.9999999969980926,0.0001547800768343652,0.9999898590986183,0.02130788345088306,0.9962787550744249,0.9464216176676241,43,0.05,7,0.7,40,0.9409471513639523,50
24,model_9999,0.9999999969980926,0.00010216217254381934,0.9999927276850865,0.02189388534393612,0.9942489851150202,0.9110680823140888,53,0.05,7,0.9,20,0.9187692832854123,50
25,model_9999,0.9999999969980926,9.45954644621797e-05,0.9999953945740688,0.019609861139485485,0.9956021650879567,0.9267354051699099,51,0.05,7,0.9,30,0.9320772894273861,50
26,model_9999,0.9999999969980926,0.00012693483792559573,0.9999871585933887,0.02339249240535865,0.9949255751014885,0.9327637396327493,47,0.05,7,0.9,40,0.9279014633940758,50
27,model_9999,0.9999999969980926,0.0006283139337700084,0.9999943412649749,0.027946373010329456,0.9952638700947226,0.9524391949312077,66,0.07,3,0.5,20,0.9344155890748617,50
28,model_9999,0.9999999873919889,0.0008622062946858002,0.9999915735272499,0.0320382904587378,0.9956021650879567,0.9524499521304632,64,0.07,3,0.5,30,0.9371573029243484,50
29,model_9999,0.9999999969980926,0.00027099125901394717,0.9999914166514274,0.025228165930733872,0.9959404600811907,0.9464108604683685,79,0.07,3,0.5,40,0.9391052168861317,50
30,model_9999,0.9999999854707683,0.001457240720761479,0.9999924475496892,0.0417216341946797,0.9935723951285521,0.9463355600735793,22,0.07,3,0.7,20,0.9125031082290241,50
31,model_9999,0.9999999969980926,0.00013930234965410873,0.999990419369413,0.02513167250827569,0.9956021650879567,0.9448849517539614,28,0.07,3,0.7,30,0.927898066585258,50
32,model_9999,0.9999999969980926,9.857150576975076e-05,0.9999926380417594,0.025576188069796904,0.9962787550744249,0.9524714665289746,29,0.07,3,0.7,40,0.9340600799357698,50
33,model_9999,0.9999999969980926,0.00013811768810102114,0.9999932767504653,0.024812462763670107,0.9956021650879567,0.9403502544077624,31,0.07,3,0.9,20,0.9273153389064092,50
34,model_9999,0.9999999969980926,0.00015970494145835695,0.9999889962815949,0.025894863024544038,0.9959404600811907,0.944895708953217,30,0.07,3,0.9,30,0.9298459576268723,50
35,model_9999,0.9999999969980926,0.00014687397141724718,0.9999906658885626,0.026788285761127052,0.9959404600811907,0.944895708953217,26,0.07,3,0.9,40,0.9298459576268723,50
36,model_9999,0.9999999969980926,0.00010965280944286999,0.9999968176618867,0.01989896528227515,0.9956021650879567,0.9343004055464119,78,0.07,5,0.5,20,0.9339728457242727,50
