,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test f1_score,Training Time (s),lr,max_depth,colsample_bytree,gamma,patience
0,model_9964,0.9998582239061511,0.05030001685620399,0.9964246009941603,0.05563897024122669,0.9820642978003384,0.9837503576684108,0.9142136926153608,3,0.05,4,0.5,0,50.0
1,model_9967,0.9999445581472273,0.02952585976319416,0.996756839643738,0.0366359265343957,0.990186125211506,0.9880117213047743,0.9495591613736012,4,0.05,4,0.5,0.2,50
2,model_9967,0.9998615715603969,0.04519357081872898,0.9967389498702991,0.05090792288915118,0.9824027072758037,0.9839279144865926,0.9155892383145535,3,0.05,4,0.5,0.5,50
3,model_9973,0.9998737288310791,0.04774611725844143,0.9973880930779355,0.05298305037190332,0.9810490693739424,0.9832176872138653,0.9101335940045618,3,0.05,4,0.7,0,50
4,model_9967,0.9998532905209467,0.05104703886892708,0.9967926191906156,0.0571129624069761,0.9807106598984772,0.9830401303956835,0.9087888385935822,3,0.05,4,0.7,0.2,50
5,model_9976,0.9999682853808292,0.02109439822320207,0.9976002146772812,0.02898460907111429,0.9932318104906938,0.9896097326684108,0.9642057677771964,5,0.05,4,0.7,0.5,50
6,model_9968,0.9999084974506145,0.04374689870351448,0.9968207316917337,0.05100785717278666,0.9824027072758037,0.9805083490026161,0.9150985930434552,3,0.05,4,0.9,0,50
7,model_9974,0.9999573614564481,0.0272853148684113,0.9974162055790536,0.03526707112042935,0.990186125211506,0.9880117213047743,0.9495591613736012,4,0.05,4,0.9,0.2,50
8,model_9971,0.9999318722995589,0.03486506097766408,0.9971350805678725,0.0424029885575227,0.9874788494077834,0.9865912667593197,0.937210307995973,3,0.05,4,0.9,0.5,50
9,model_9948,0.998998522803516,0.11591734834437997,0.9948886361603435,0.1228804583916631,0.9648054145516074,0.9678558289731851,0.8515695032611048,1,0.05,6,0.5,0,50
10,model_9948,0.9990261849991261,0.11392049830021567,0.9948758577507444,0.12093320012044668,0.9644670050761421,0.9676782721550032,0.8505149051490515,1,0.05,6,0.5,0.2,50
11,model_9948,0.9990238357680764,0.11394649760936244,0.9948758577507444,0.12096471739989645,0.9644670050761421,0.9676782721550032,0.8505149051490515,1,0.05,6,0.5,0.5,50
12,model_9944,0.9986698066488877,0.12333482131645696,0.9944260577328545,0.1312734097666085,0.9607445008460237,0.9691447126389797,0.8400120231352004,1,0.05,6,0.7,0,50
13,model_9944,0.9986654605714458,0.12334774192744194,0.9944132793232554,0.1312987728425243,0.9607445008460237,0.9691447126389797,0.8400120231352004,1,0.05,6,0.7,0.2,50
14,model_9971,0.99998061884384,0.01692315291017101,0.9971913055701087,0.02569674775376165,0.9932318104906938,0.9861901671844343,0.9639734317775057,3,0.05,6,0.7,0.5,50
15,model_9924,0.9984317120820013,0.13205596441358444,0.9924224031077092,0.1411912659651013,0.9529610829103214,0.958221774852845,0.8166088544064194,1,0.05,6,0.9,0,50
16,model_9929,0.9986895989204814,0.11802972833362911,0.992961651992793,0.12733355014646122,0.9590524534686972,0.9579982320961413,0.8327150590834382,1,0.05,6,0.9,0.2,50
17,model_9920,0.9987391089648536,0.11902312480181296,0.9920313837739755,0.12841555512382238,0.9580372250423012,0.9643046926095487,0.8313995649021029,1,0.05,6,0.9,0.5,50
18,model_9961,0.9999037989885151,0.07180818742816414,0.9961639214383378,0.07961639916220366,0.9840947546531302,0.9779765676095487,0.9216658272141663,1,0.05,9,0.5,0,50
19,model_9985,1.0,0.00305067460707555,0.9985739294887358,0.0143358626161428,0.9972927241962775,0.9883208490026161,0.9850038061405735,4,0.05,9,0.5,0.2,50
20,model_9964,0.9999116689125316,0.05651261682634159,0.9964092669026413,0.06533697574004056,0.9857868020304569,0.9788643517004578,0.9289409679281061,1,0.05,9,0.5,0.5,50
21,model_9991,1.0,0.0006031293038115,0.9991949601952541,0.0128958695686616,0.9966159052453468,0.9879657353662525,0.9813810884785797,9,0.05,9,0.7,0,50
22,model_9984,1.0,0.00290751762941286,0.9984717022119427,0.01484956047744633,0.9969543147208122,0.9881432921844343,0.9831863336091884,4,0.05,9,0.7,0.2,50
23,model_9977,0.9999997063461188,0.00525049891346615,0.9977688896839899,0.01730401073907943,0.9962774957698816,0.9877881785480707,0.9795879407777117,3,0.05,9,0.7,0.5,50
24,model_9992,1.0,0.00053156351545946,0.9992614079251696,0.01295319381791274,0.9962774957698816,0.9843686130640942,0.979449963300119,10,0.05,9,0.9,0,50
25,model_9982,1.0,0.00284980681221865,0.9982416908391581,0.01599255338658129,0.9959390862944163,0.9807714907619359,0.9775057092108602,4,0.05,9,0.9,0.2,50
26,model_9972,1.0,0.00514401259592235,0.997290977164982,0.01819491641910402,0.9959390862944163,0.9841910562459124,0.9776573061742957,3,0.05,9,0.9,0.5,50
27,model_9958,0.9999416803391914,0.02891327634916998,0.9958981305186756,0.03612879504080084,0.9891708967851099,0.9874790508502289,0.9448573148031518,2,0.1,4,0.5,0,50
28,model_9968,0.9999935396146133,0.01220757934637643,0.9968795123758897,0.02251080321157612,0.9952622673434857,0.9906750735775016,0.9744493359421321,3,0.1,4,0.5,0.2,50
29,model_9959,0.9999706346118789,0.02070128514722105,0.9959926907497093,0.02924533067587337,0.993570219966159,0.9897872894865926,0.9658854975236681,2,0.1,4,0.5,0.5,50
30,model_9980,0.9999987666536989,0.00698571004798499,0.9980551260590107,0.01742155764769591,0.9966159052453468,0.9913853008502289,0.9815056353048972,4,0.1,4,0.7,0,50
31,model_9973,0.999904268834725,0.04154546716122518,0.9973574248948975,0.04721593465141602,0.9830795262267343,0.9842830281229562,0.918364031772553,2,0.1,4,0.7,0.2,50
