,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test f1_score,Training Time (s),lr,max_depth,colsample_bytree,gamma,patience
0,model_9981,0.999281489356861,0.28464252007434765,0.9981252577119646,0.2923424823528702,0.9908629441624366,0.7797979797979797,0.8389607584695057,10,0.05,4,0.5,0,50.0
1,model_9981,0.9993994277549284,0.28465359869100837,0.998122936924581,0.29241432681346796,0.9905245346869712,0.779787218778696,0.8346263728024067,10,0.05,4,0.5,0.2,50
2,model_9980,0.9991970684953029,0.2849033053115337,0.998050816990197,0.2925185537168765,0.9905245346869712,0.779787218778696,0.8346263728024067,9,0.05,4,0.5,0.5,50
3,model_9978,0.999192491494051,0.3109081007024641,0.9978870708142079,0.31909641692100865,0.9915397631133672,0.7919191919191919,0.8465471783926796,10,0.05,4,0.7,0,50
4,model_9978,0.9991630044235077,0.34136350256393977,0.9978891615494662,0.3494210388503853,0.9912013536379018,0.791908430899908,0.8437869761002075,9,0.05,4,0.7,0.2,50
5,model_9979,0.9991506705163347,0.2969268360769007,0.9979199926571016,0.3051033921756693,0.9912013536379018,0.791908430899908,0.8422127927078423,10,0.05,4,0.7,0.5,50
6,model_9977,0.9997663243744268,0.10717302359166087,0.9977763272189285,0.11792602581485914,0.993570219966159,0.8545454545454544,0.8999090458663181,13,0.05,4,0.9,0,50
7,model_9977,0.9998175766127614,0.08724346370084286,0.9977035186830996,0.09824817689714516,0.993570219966159,0.8545454545454544,0.8999090458663181,13,0.05,4,0.9,0.2,50
8,model_9976,0.9997582178957047,0.09506361392846427,0.997628939015052,0.1059621610478848,0.993570219966159,0.8545454545454544,0.8999090458663181,13,0.05,4,0.9,0.5,50
9,model_9985,0.9998673888328329,0.07385863584082428,0.9985392138938665,0.0861894352539375,0.9932318104906938,0.8484848484848485,0.8934155393728116,13,0.05,6,0.5,0,50
10,model_9984,0.9998760246853637,0.07401064301527638,0.9984241749682066,0.08556212441580838,0.993570219966159,0.8545454545454546,0.8967878880750964,12,0.05,6,0.5,0.2,50
11,model_9984,0.999867219589451,0.0438119261824843,0.9984417316633535,0.05577152022258325,0.993570219966159,0.8605952995867769,0.8966676037690716,14,0.05,6,0.5,0.5,50
12,model_9983,0.9999883582020048,0.01045408367717618,0.9983948684720928,0.02594871522077487,0.994585448392555,0.896969696969697,0.9355244741604353,20,0.05,6,0.7,0,50
13,model_9983,0.9999080014652407,0.05691416398794363,0.9983202798752143,0.06962471138925551,0.9939086294416244,0.8606060606060606,0.9010019895116211,14,0.05,6,0.7,0.2,50
14,model_9979,0.9998285685410301,0.09894912150235441,0.9979750235299821,0.1102033788130222,0.9928934010152284,0.8484740874655646,0.8870369015984463,12,0.05,6,0.7,0.5,50
15,model_9978,0.9995886261402476,0.3048969817065577,0.9978503357217378,0.3132373786247011,0.9928934010152284,0.8434343434343434,0.8923838215364839,10,0.05,6,0.9,0,50
16,model_9980,0.999911034397559,0.06100929287192949,0.9980682584260416,0.07376162615997531,0.9942470389170897,0.8666666666666667,0.90521609284164,14,0.05,6,0.9,0.2,50
17,model_9979,0.9995688725702968,0.2651809105895763,0.9979013399558929,0.273628445290478,0.9928934010152284,0.8484740874655646,0.8929347458827358,10,0.05,6,0.9,0.5,50
18,model_9980,0.9996820510276283,0.23705120231098556,0.9980851968929819,0.2469852570098804,0.9925549915397631,0.8424134814049586,0.8816203027501108,10,0.05,9,0.5,0,50
19,model_9985,0.9999041533490155,0.06997284360514243,0.9985435357101011,0.08257447291712908,0.9942470389170897,0.8666666666666667,0.90521609284164,13,0.05,9,0.5,0.2,50
20,model_9983,0.9998691436632445,0.07083324088983753,0.9983686690774354,0.08284985177350068,0.9939086294416244,0.8666559056473828,0.9008817070933722,12,0.05,9,0.5,0.5,50
21,model_9983,0.9997100999921638,0.2594374275721591,0.9983832632255076,0.2698146502614102,0.9932318104906938,0.8545346935261708,0.8912510011360976,10,0.05,9,0.7,0,50
22,model_9987,0.999885054343831,0.10278148921151198,0.9987334739068485,0.115490322643809,0.9942470389170897,0.8666666666666667,0.90521609284164,12,0.05,9,0.7,0.2,50
23,model_9984,0.9997289705130543,0.2050749748700955,0.9984322008389485,0.21561153592212667,0.9932318104906938,0.8545346935261708,0.8912510011360976,11,0.05,9,0.7,0.5,50
24,model_9983,0.999692429862481,0.2720778527344396,0.9983300285712613,0.2816925512408597,0.9932318104906938,0.8545346935261708,0.8928251845284627,11,0.05,9,0.9,0,50
25,model_9987,0.9999017650664958,0.0935679419890606,0.998769546261755,0.10627535382788893,0.9942470389170897,0.8666666666666667,0.90521609284164,13,0.05,9,0.9,0.2,50
26,model_9987,0.9998972505747366,0.05846974214553254,0.9987259626669973,0.07174968915835739,0.9939086294416244,0.8666559056473828,0.9008817070933722,14,0.05,9,0.9,0.5,50
27,model_9981,0.9994068204149745,0.2454612439128911,0.9981125340430941,0.2547614487719116,0.9891708967851099,0.7469589359504131,0.8096411457767869,8,0.1,4,0.5,0,50
28,model_9981,0.9994541935528963,0.24529245293669616,0.9981516156313365,0.2545481844929399,0.9898477157360406,0.7621104511019282,0.8197528031450293,7,0.1,4,0.5,0.2,50
29,model_9981,0.9992348134592095,0.24576663653597713,0.9981257714098966,0.25477527873432954,0.9905245346869712,0.7772619662534433,0.8298644680405021,7,0.1,4,0.5,0.5,50
30,model_9978,0.9991316018644121,0.3220370648955462,0.9978462689663767,0.3309633455408854,0.9895093062605753,0.7631097910927456,0.8140344460293374,7,0.1,4,0.7,0,50
31,model_9978,0.9997736702742708,0.10223043610335227,0.9978897589284854,0.11398674947945509,0.9925549915397631,0.8363636363636363,0.8881085094208547,9,0.1,4,0.7,0.2,50
32,model_9978,0.9997410851157478,0.1024891967601057,0.9978118253765593,0.11453935663362734,0.9928934010152284,0.8424242424242423,0.8879989405177593,9,0.1,4,0.7,0.5,50
33,model_9976,0.999758136913501,0.11048598877299806,0.997675581277424,0.1215163381516772,0.9932318104906938,0.8484848484848485,0.895694948213767,9,0.1,4,0.9,0,50
34,model_9976,0.9997866922475902,0.10183616964305656,0.9976525143712768,0.11290961497677042,0.993570219966159,0.8545454545454544,0.8999090458663181,9,0.1,4,0.9,0.2,50
35,model_9975,0.9996730318905878,0.13143380719724646,0.997596245397279,0.1419931844396412,0.993570219966159,0.8545454545454544,0.8999090458663181,9,0.1,4,0.9,0.5,50
36,model_9984,0.9999414235688413,0.02297609650183901,0.9984584349468939,0.03734306188473023,0.993570219966159,0.8545454545454546,0.8976296389168472,11,0.1,6,0.5,0,50
37,model_9982,0.999569655550404,0.21855971225478316,0.998219003973559,0.2285673625328368,0.9912013536379018,0.7949387339302111,0.8447380452330949,8,0.1,6,0.5,0.2,50
38,model_9982,0.9995868937560445,0.18288758059864413,0.9982763937679607,0.1932074833527641,0.9918781725888325,0.8313023702938476,0.8804630008202701,8,0.1,6,0.5,0.5,50
39,model_9979,0.9994510204474162,0.3167341224871923,0.9979351438731514,0.32678108340029627,0.9912013536379018,0.791908430899908,0.8422127927078423,8,0.1,6,0.7,0,50
40,model_9979,0.9994473803802669,0.3167610459713878,0.9979327084873505,0.32683848086731937,0.9912013536379018,0.791908430899908,0.8422127927078423,8,0.1,6,0.7,0.2,50
41,model_9979,0.9993945359077758,0.3170083131272025,0.9979715597124812,0.32692454310390057,0.9915397631133672,0.8070491850321395,0.8495642684689532,7,0.1,6,0.7,0.5,50
42,model_9991,1.0,0.00089592741786821,0.9991314312532531,0.01844131030065286,0.9952622673434857,0.9201804981634527,0.9430015716795945,73,0.1,6,0.9,0,50
43,model_9976,0.9998325391387224,0.11486073313411999,0.9976919156791394,0.12687502512626334,0.993570219966159,0.8545454545454544,0.8955853868725953,9,0.1,6,0.9,0.2,50
44,model_9979,0.9999890779144278,0.00702742755468417,0.9979526049142384,0.02452046829146918,0.994585448392555,0.896969696969697,0.9355244741604353,15,0.1,6,0.9,0.5,50
45,model_9986,0.999989701486389,0.00846692418751744,0.9986067008713273,0.02503553438697139,0.994585448392555,0.9045346935261708,0.9366066967242586,13,0.1,9,0.5,0,50
46,model_9985,0.9997768797340775,0.13513748591283956,0.9985288990083621,0.14733582020522212,0.9932318104906938,0.8545346935261708,0.8912510011360976,9,0.1,9,0.5,0.2,50
47,model_9985,0.9996619136656082,0.17787746906207016,0.9985006206061541,0.18900981172667053,0.9932318104906938,0.8545346935261708,0.8912510011360976,8,0.1,9,0.5,0.5,50
48,model_9985,0.9997638353891815,0.17574940848515685,0.9985655751175072,0.18823639117811852,0.9932318104906938,0.8545346935261708,0.8912510011360976,9,0.1,9,0.7,0,50
49,model_9985,0.9996896735394295,0.21250563537617925,0.9985411350512917,0.22422838054683134,0.9925549915397631,0.8434235824150597,0.8837257730373994,8,0.1,9,0.7,0.2,50
50,model_9985,0.9996879463700395,0.17648964987690244,0.9985224249467407,0.18855129388654723,0.9932318104906938,0.8545346935261708,0.8912510011360976,8,0.1,9,0.7,0.5,50
51,model_9983,0.9996879147237262,0.23290812890086554,0.9983124074505286,0.24385755487447183,0.9932318104906938,0.8484848484848485,0.8913712873285596,9,0.1,9,0.9,0,50
52,model_9983,0.9996783997743165,0.232968494532789,0.9983198283619996,0.24382321518381142,0.9932318104906938,0.8484848484848485,0.8913712873285596,9,0.1,9,0.9,0.2,50
53,model_9982,0.9996308369438006,0.23334606445922607,0.99828980002666,0.24385976207240176,0.9925549915397631,0.8484633264462809,0.8842766973554402,8,0.1,9,0.9,0.5,50
54,model_9984,1.0,0.00179675269921043,0.9984481100441068,0.01920019268811557,0.9942470389170897,0.9019986799816345,0.932042740647212,20,0.3,4,0.5,0,50
55,model_9982,0.99999658318554,0.00472356952122467,0.9982080158995889,0.02142702701681639,0.9932318104906938,0.8848269628099174,0.9219868957742648,9,0.3,4,0.5,0.2,50
56,model_9981,0.9999853305451238,0.00718713151650029,0.9981564175069639,0.02293632418098357,0.9925549915397631,0.8595851985766759,0.9054779266077347,12,0.3,4,0.5,0.5,50
57,model_9982,1.0,0.00253294965931349,0.9982831899205123,0.0205463801731481,0.9942470389170897,0.9030087809917354,0.9329457097319993,14,0.3,4,0.7,0,50
58,model_9984,0.9999977025891933,0.00466222938642773,0.9984789670156234,0.02158379142449279,0.993570219966159,0.8893724173553719,0.9252389981305063,9,0.3,4,0.7,0.2,50
59,model_9979,0.9999617058614032,0.00850533034716683,0.9979796149319181,0.02494095997959669,0.9939086294416244,0.8818181818181818,0.9254127639223955,7,0.3,4,0.7,0.5,50
60,model_9985,1.0,0.00152428155357835,0.9985137517185539,0.01776041372853079,0.9959390862944163,0.9312916092745638,0.95052683390477,23,0.3,4,0.9,0,50
61,model_9981,0.9999982089541546,0.00443757054617101,0.9981860272930391,0.02018252811024528,0.9942470389170897,0.8969589359504132,0.9328254900421841,11,0.3,4,0.9,0.2,50
62,model_9978,0.9999850533279102,0.00737697389267133,0.9978328006921567,0.02244694693323173,0.9942470389170897,0.8878787878787879,0.9296268672524146,11,0.3,4,0.9,0.5,50
63,model_9990,1.0,0.00071563726825511,0.9990530632665515,0.01821778987681814,0.9956006768189509,0.9262411042240588,0.9472156863839649,39,0.3,6,0.5,0,50
64,model_9984,0.9999974787084626,0.00422140173375691,0.9984131700818185,0.02067843732677995,0.9928934010152284,0.8747259527089073,0.9128906394680281,9,0.3,6,0.5,0.2,50
65,model_9983,0.9999172609226452,0.01187922107891785,0.9983454621365561,0.02696848624537541,0.9918781725888325,0.8474639864554637,0.8935678231567057,6,0.3,6,0.5,0.5,50
66,model_9990,1.0,0.00075637208751759,0.9990189425840428,0.01856456844869612,0.9959390862944163,0.9262518652433425,0.9504678229855906,35,0.3,6,0.7,0,50
67,model_9982,0.9999983742313854,0.00413882598156431,0.9982887090603433,0.02102385648312672,0.993570219966159,0.8818074207988982,0.9192318754435406,9,0.3,6,0.7,0.2,50
68,model_9982,0.9999725160069923,0.00802906759785563,0.9982385330347987,0.02422305988309433,0.993570219966159,0.8818074207988982,0.9192318754435406,7,0.3,6,0.7,0.5,50
69,model_9990,1.0,0.00083921344689729,0.9990431820383568,0.01732726142605022,0.9956006768189509,0.9262411042240588,0.9472156863839649,31,0.3,6,0.9,0,50
70,model_9980,0.9999776066580027,0.00794888617649444,0.9980737772548863,0.02437874843544102,0.994585448392555,0.8969696969696969,0.9355244741604354,7,0.3,6,0.9,0.2,50
71,model_9979,0.9999840458646222,0.00697807147567494,0.9979142119274411,0.02333701825961393,0.9942470389170897,0.8939286329201102,0.9303002375169315,8,0.3,6,0.9,0.5,50
72,model_9986,1.0,0.00183256003384402,0.99869448186952,0.01920718138137229,0.9942470389170897,0.9030087809917355,0.9321039588902484,11,0.3,9,0.5,0,50
73,model_9984,0.999968187858228,0.00802646530527805,0.9984802140455719,0.02437551025711548,0.993570219966159,0.8787878787878788,0.9202420087516404,7,0.3,9,0.5,0.2,50
74,model_9982,0.9999486516319248,0.00922515510007582,0.9982544330795641,0.02639594799444078,0.9928934010152284,0.868676107667585,0.9078936177787141,6,0.3,9,0.5,0.5,50
75,model_9987,0.9998833402868817,0.01873331495613264,0.9987379594447924,0.03665436708923876,0.9932318104906938,0.878777117768595,0.9178316249330929,7,0.3,9,0.7,0,50
76,model_9988,0.999955171165715,0.00996209589362722,0.9988849289439115,0.02734815309419421,0.994585448392555,0.8969696969696969,0.9320425735844536,7,0.3,9,0.7,0.2,50
77,model_9984,0.9999821428784114,0.00683675462941237,0.9984781229993275,0.02433647228838462,0.994585448392555,0.8969696969696969,0.9320425735844536,7,0.3,9,0.7,0.5,50
78,model_9991,1.0,0.00080913664581163,0.9991123417848715,0.01786074997380661,0.9959390862944163,0.9323017102846648,0.95052683390477,33,0.3,9,0.9,0,50
79,model_9984,0.9999253844906755,0.01520512922840315,0.9984220520732718,0.03123130359180579,0.9939086294416244,0.8908983298898071,0.9278177340293992,7,0.3,9,0.9,0.2,50
80,model_9986,0.9999172451093553,0.01399954010301602,0.998679050080371,0.02889534880040805,0.993570219966159,0.8605952995867768,0.8975093546108226,6,0.3,9,0.9,0.5,50
