,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test af1_score,Training Time (s),lr,max_depth,colsample_bytree,gamma,test f1_score,early stopping (iterations)
0,model_9978,0.9999616672128845,0.02520724925728205,0.9978164433309582,0.03172476039487544,0.9935723951285521,0.9761098469467238,,495,0.05,4,0.5,0,0.9649783780581719,50.0
1,model_9978,0.9999341612435039,0.03399146301978113,0.9978624129450433,0.03879461741373322,0.9928958051420839,0.9757548593712889,,407,0.05,4,0.5,0.2,0.9615479674796747,50
2,model_9975,0.9998051758041107,0.0543739857837496,0.997530410176651,0.05935348297015983,0.9888362652232747,0.9702053054042389,,301,0.05,4,0.5,0.5,0.9415058870090036,50
3,model_9974,0.9999176576618756,0.03714883074947347,0.9974384709484808,0.04290215860953395,0.9922192151556157,0.9788195003102949,,495,0.05,4,0.7,0,0.9584352003501841,50
4,model_9982,0.9999963130296362,0.00828521422671359,0.9982122927855799,0.01667892321416642,0.9959404600811907,0.9773523034607459,,1122,0.05,4,0.7,0.2,0.9773523034607459,50
5,model_9973,0.9998846504986189,0.04282070391459798,0.9973031159736747,0.04833339113469368,0.9901894451962111,0.9777545375839903,,455,0.05,4,0.7,0.5,0.9485960825230639,50
6,model_9975,0.9999084109742965,0.04149737048685131,0.9975074253696085,0.04736418684568199,0.9918809201623816,0.9786420065225775,,548,0.05,4,0.9,0,0.9567688782723152,50
7,model_9974,0.9999520693852708,0.02924709636014949,0.997456348020625,0.03622555827981422,0.9935723951285521,0.9795294754611645,,682,0.05,4,0.9,0.2,0.9652100658149438,50
8,model_9969,0.9999114541879301,0.03849488280460305,0.9969813286750792,0.04463692991123003,0.9915426251691475,0.97846451273486,,580,0.05,4,0.9,0.5,0.9551132888353568,50
9,model_9985,0.9999997073833045,0.0042924054856003,0.9985851574331589,0.01314042152802604,0.9959404600811907,0.9807719319751866,,784,0.05,6,0.5,0,0.9775060876623376,50
10,model_9983,0.9999959618896016,0.01052939754662343,0.9983808480372252,0.01837574726408306,0.9952638700947226,0.9769973158853109,,533,0.05,6,0.5,0.2,0.9737571022727273,50
11,model_9977,0.9999470363781076,0.03155641518210438,0.997783243054119,0.03811188413905224,0.993234100135318,0.9793519816734472,,286,0.05,6,0.5,0.5,0.9634996838944208,50
12,model_9985,0.999991280022473,0.01382808169894835,0.9985110952771329,0.02141157450924644,0.9952638700947226,0.9769973158853109,,596,0.05,6,0.7,0,0.9737571022727273,50
