,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test af1_score,Training Time (s),lr,max_depth,colsample_bytree,gamma,test f1_score,early stopping (iterations)
0,model_9984,0.9999999416020307,0.00257884335370605,0.9984036866740501,0.02151129795434022,0.9956021650879567,0.9171609599724615,,48,0.05,4,0.5,0,0.9315854028114837,50.0
1,model_9981,0.9999996070083945,0.00440896762985064,0.9981494548620399,0.02283516140170157,0.9945872801082544,0.897463990275492,,31,0.05,4,0.5,0.2,0.9196645764823559,50
2,model_9977,0.999993685326615,0.00718849419551503,0.9977095027875322,0.02487046458105724,0.9945872801082544,0.897463990275492,,35,0.05,4,0.5,0.5,0.9196645764823559,50
3,model_9983,0.9999999416020307,0.00245831028659154,0.9983462187022895,0.02137274896419866,0.9956021650879567,0.9171609599724615,,52,0.05,4,0.7,0,0.9315854028114837,50
4,model_9982,0.9999996070083945,0.0043267797498325,0.9982495311177145,0.02280088866745109,0.9945872801082544,0.897463990275492,,42,0.05,4,0.7,0.2,0.9196645764823559,50
5,model_9958,0.9998444259622835,0.04141594979863971,0.995849870914534,0.05695507812461184,0.9925575101488497,0.8328175256290272,,13,0.05,4,0.7,0.5,0.8666262457789081,50
6,model_9982,0.9999999416020307,0.00225714982493792,0.9982247846670426,0.02192628687142302,0.9952638700947226,0.9111003539118555,,60,0.05,4,0.9,0,0.928213042739172,50
7,model_9978,0.9999996070083945,0.00432442089861574,0.9978834584556124,0.02375449529427726,0.9945872801082544,0.897463990275492,,52,0.05,4,0.9,0.2,0.9196645764823559,50
8,model_9974,0.9999942482451089,0.00731186227898767,0.9974265079709213,0.02568023255061332,0.9942489851150202,0.8914033842148859,,26,0.05,4,0.9,0.5,0.9162922220995875,50
9,model_9975,0.9999510330241429,0.03412932797059756,0.9975866908254841,0.05174426328521902,0.9935723951285521,0.8565548993664011,,13,0.05,6,0.5,0,0.881889991359018,50
10,model_9976,0.999930139834027,0.03835806048130737,0.997664632960235,0.05519533478900669,0.9935723951285521,0.8565548993664011,,12,0.05,6,0.5,0.2,0.8824431419121684,50
11,model_9977,0.9999596051478035,0.01862327260992437,0.9977669874536145,0.03564722134627109,0.9935723951285521,0.8565548993664011,,14,0.05,6,0.5,0.5,0.8824431419121684,50
12,model_9974,0.9999795050738604,0.02245900919606913,0.9974479064017179,0.04073246521213632,0.9939106901217862,0.8868579296694313,,15,0.05,6,0.7,0,0.9127515194429693,50
13,model_9976,0.9999500345114013,0.03327133251013545,0.9976107189426042,0.05036497447911917,0.9935723951285521,0.8565548993664011,,14,0.05,6,0.7,0.2,0.8824431419121684,50
14,model_9971,0.9999300177783295,0.03411821265092825,0.997164445347323,0.0506312368999718,0.9935723951285521,0.8565548993664011,,13,0.05,6,0.7,0.5,0.8824431419121684,50
15,model_9965,0.9999169896839027,0.04761855935655471,0.9965363246240944,0.06485003637747287,0.9925575101488497,0.8368579296694313,,13,0.05,6,0.9,0,0.8713641005167627,50
16,model_9967,0.9999101599632164,0.04786355209782475,0.9967593783209638,0.06476570140565362,0.9925575101488497,0.8368579296694313,,13,0.05,6,0.9,0.2,0.8713641005167627,50
